100APD_0	1331APD_0	31487.0
100APD_0	1331APD_0	31491.0
100APD_0	1331APD_0	31504.0
100APD_0	1331APD_0	31515.0
100APD_0	137APD_0	104883.0
100APD_0	1501APD_0	40910.0
100APD_0	1648APD_0	33470.0
100APD_0	1648APD_0	33518.0
100APD_0	1648APD_0	33531.0
100APD_0	2207APD_0	83272.0
100APD_0	2232APD_0	77802.0
100APD_0	236APD_0	89800.0
100APD_0	2403APD_0	30146.0
100APD_0	2403APD_0	30233.0
100APD_0	272APD_0	55338.0
100APD_0	297APD_0	35534.0
100APD_0	297APD_0	35659.0
100APD_0	298APD_0	85711.0
100APD_0	401APD_0	99538.0
100APD_0	416APD_0	64788.0
100APD_0	426APD_0	26603.0
100APD_0	426APD_0	26623.0
100APD_0	426APD_0	26627.0
100APD_0	426APD_0	26638.0
100APD_0	426APD_0	26650.0
100APD_0	426APD_0	26656.0
100APD_0	426APD_0	26660.0
100APD_0	426APD_0	26680.0
100APD_0	426APD_0	26704.0
100APD_0	426APD_0	26709.0
100APD_0	457APD_0	106007.0
100APD_0	493APD_0	21146.0
100APD_0	493APD_0	21165.0
100APD_0	493APD_0	21177.0
100APD_0	493APD_0	21183.0
100APD_0	493APD_0	21190.0
100APD_0	493APD_0	21195.0
100APD_0	493APD_0	21218.0
100APD_0	493APD_0	21218.0
100APD_0	493APD_0	21225.0
100APD_0	493APD_0	21228.0
100APD_0	493APD_0	21230.0
100APD_0	493APD_0	21243.0
100APD_0	496APD_0	28927.0
100APD_0	496APD_0	28935.0
100APD_0	496APD_0	28943.0
100APD_0	496APD_0	28955.0
100APD_0	496APD_0	28979.0
100APD_0	496APD_0	28986.0
100APD_0	496APD_0	29002.0
100APD_0	496APD_0	29020.0
100APD_0	537APD_0	93738.0
100APD_0	582APD_0	37863.0
100APD_0	582APD_0	38261.0
100APD_0	695APD_0	18463.186223428198
100APD_0	695APD_0	18464.0
100APD_0	695APD_0	18465.0
100APD_0	695APD_0	18466.0
100APD_0	695APD_0	18468.0
100APD_0	695APD_0	18468.0
100APD_0	695APD_0	18468.0
100APD_0	695APD_0	18469.0
100APD_0	695APD_0	18469.0
